Function,Package,Static,Example,Original Package,Observation,FuncType /Member/Static,Implemented In:,
CreateUUID,Identity,TRUE,Identity::createUuid(),Identity,,,,
CSRFGenerateToken,Csrf,TRUE,,Csrf,Unsure,,,
CSRFVerifyToken,Csrf,TRUE,,Csrf,,,,
CtCacheClear,System,TRUE,,LuceeServer,,,,
CtCacheList,System,TRUE,,LuceeServer,,,,
DatasourceFlushMetaCache,System,TRUE,,LuceeServer,,,,
DateAdd,DateTime,TRUE,,DateTime,These can be used as member functions but some cant... might as well add them to the DateTime object,,,
DateCompare,DateTime,TRUE,,DateTime,,,,
DateConvert,DateTime,TRUE,,DateTime,,,,
DateDiff,DateTime,TRUE,,DateTime,,,,
DateFormat,DateTime,TRUE,,DateTime,,,,
DatePart,DateTime,TRUE,,DateTime,,,,
DateTimeFormat,DateTime,TRUE,,DateTime,,,,
Day,DateTime,TRUE,,DateTime,,,,
DayOfWeek,DateTime,TRUE,,DateTime,,,,
DayOfWeekAsString,DateTime,TRUE,,DateTime,,,,
DayOfWeekShortAsString,DateTime,TRUE,,DateTime,,,,
DayOfYear,DateTime,TRUE,,DateTime,,,,
DaysInMonth,DateTime,TRUE,,DateTime,,,,
DaysInYear,DateTime,TRUE,,DateTime,,,,
DE,String,TRUE,,String,Unsure about this,,,
DecimalFormat,Number,TRUE,,Number,,,,
DecodeFromURL,Encoder,TRUE,Encoder::decodeFromURL,Encoder,,,,
DecrementValue,Number,TRUE,,Number,,,,
Decrypt,Encryption,TRUE,,Encryption,,,,
DecryptBinary,Encryption,TRUE,,Encryption,,,,
DeleteClientVariable,,FALSE,,,Do not implement,,,
DeserializeJSON,Json,TRUE,,Json,,,,
DirectoryCopy,File,TRUE,,File,Implement as inbuilt component,,,
DirectoryCreate,File,TRUE,,File,,,,
DirectoryDelete,File,TRUE,,File,,,,
DirectoryExists,File,TRUE,,File,,,,
DirectoryList,File,TRUE,,File,,,,
DirectoryRename,File,TRUE,,File,,,,
DollarFormat,Number,TRUE,,Number,,,,
Dump,System,TRUE,System::dump(expr),System,Import System methods into global namespace?,,,
Duplicate,Object,TRUE,,Object,,,,
Each,Collection,FALSE,,Collection,,,,
Echo,System,TRUE,,System,,,,
Empty,Object,TRUE,,Object,,,,
EncodeForCSS,Encoder,TRUE,,Encoder,,,,
EncodeForDN,Encoder,TRUE,,Encoder,,,,
EncodeForHTML,Encoder,TRUE,,Encoder,,,,
EncodeForHTMLAttribute,Encoder,TRUE,,Encoder,,,,
EncodeForJavaScript,Encoder,TRUE,,Encoder,,,,
EncodeForLDAP,Encoder,TRUE,,Encoder,,,,
EncodeForURL,Encoder,TRUE,,Encoder,,,,
EncodeForXML,Encoder,TRUE,,Encoder,,,,
EncodeForXMLAttribute,Encoder,TRUE,,Encoder,,,,
EncodeForXPath,Encoder,TRUE,,Encoder,,,,
Encrypt,Encryption,TRUE,,Encryption,,,,
EncryptBinary,Encryption,TRUE,,Encryption,,,,
EntityDelete,Entity,TRUE,,Entity,,,,
EntityLoad,Entity,TRUE,,Entity,,,,
EntityLoadByExample,Entity,TRUE,,Entity,,,,
EntityLoadByPK,Entity,TRUE,,Entity,,,,
EntityMerge,Entity,TRUE,,Entity,,,,
EntityNameArray,Entity,TRUE,,Entity,,,,
EntityNameList,Entity,TRUE,,Entity,,,,
EntityNew,Entity,TRUE,,Entity,,,,
EntityReload,Entity,TRUE,,Entity,,,,
EntitySave,Entity,TRUE,,Entity,,,,
EntityToQuery,Entity,TRUE,,Entity,,,,
ESAPIDecode,Encoder,TRUE,,Encode,,,,
ESAPIEncode,Encoder,TRUE,,Encode,,,,
Evaluate,System,TRUE,,System,"Unsure about this, perhaps ""Lucee""",,,
Exp,Math,TRUE,,Math,,,,
ExpandPath,File,TRUE,,File,,,,
Extract,File,TRUE,,Compressable,,,,
FileAppend,File,TRUE,,File,,,,
FileClose,File,TRUE,,File,,,,
FileCopy,File,TRUE,,File,,,,
FileDelete,File,TRUE,,File,,,,
FileExists,File,TRUE,,File,,,,
FileGetMimeType,File,TRUE,,File,,,,
FileIsEOF,File,TRUE,,File,,,,
FileMove,File,TRUE,,File,,,,
FileOpen,File,TRUE,fileObj = File::open(expr),File,,,,
FileRead,File,TRUE,,File,,,,
FileReadBinary,File,TRUE,,File,,,,
FileReadLine,File,TRUE,,File,,,,
FileSeek,File,TRUE,,File,,,,
FileSetAccessMode,File,TRUE,,File,,,,
FileSetAttribute,File,TRUE,,File,,,,
FileSetLastModified,File,TRUE,,File,,,,
FileSkipBytes,File,TRUE,,File,,,,
FileUpload,File,TRUE,,File,,,,
FileUploadAll,File,TRUE,,File,,,,
FileWrite,File,TRUE,,File,,,,
FileWriteLine,File,TRUE,,File,,,,
