Function,Package,Static,Example,Original Package,Observation,FuncType /Member/Static,Implemented In:,
QueryRowData,Query,FALSE,,Query,,Member,,
QuerySetCell,Query,FALSE,,Query,,Member,,
QuerySlice,Query,FALSE,,Query,,Member,,
QuerySome,Query,FALSE,,Query,,Member,,
QuerySort,Query,FALSE,,Query,,Member,,
QuotedValueList,List,TRUE,,List,,,,
Rand,Math,TRUE,,Math,,,,
Randomize,Math,TRUE,,Math,,,,
RandRange,Math,TRUE,,Math,,,,
REFind,String,TRUE,,String,,,,
REFindNoCase,String,TRUE,,String,,,,
ReleaseComObject,lucee.util.Com,FALSE,,lucee.util.Com,,,,
REMatch,String,TRUE,,String,,,,
REMatchNoCase,String,TRUE,,String,,,,
RemoveChars,String,TRUE,,String,,,,
RepeatString,String,TRUE,,String,,,,
Replace,String,TRUE,,String,,,,
ReplaceList,String,TRUE,,String,,,,
ReplaceNoCase,String,TRUE,,String,,,,
REReplace,String,TRUE,,String,,,,
REReplaceNoCase,String,TRUE,,String,,,,
RestDeleteApplication,Rest,TRUE,,Application,,,,
RestInitApplication,Rest,TRUE,,Application,,,,
RestSetResponse,Rest,TRUE,,RestResponse,"Extends Response, perhaps?",,,
Reverse,String,TRUE,,String,,,,
Right,String,TRUE,,String,,,,
RJustify,String,TRUE,,String,,,,
Round,Number,TRUE,,Number,,,,
RTrim,String,TRUE,,String,,,,
Second,DateTime,TRUE,,DateTime,,,,
SendGatewayMessage,Gateway,TRUE,,lucee.util.Gateway,,,,
Serialize,Object,TRUE,,Object,,,,
SerializeJSON,JSON,TRUE,,Object,JSON.serialize(),,,
SessionInvalidate,Session,TRUE,,Session,,,,
SessionRotate,Session,TRUE,,Session,,,,
SessionStartTime,Session,TRUE,,Session,,,,
SetEncoding,Request,TRUE,,HttpScope,,,,
SetLocale,System,TRUE,,System,,,,
SetProfileString,Profile,TRUE,,lucee.util.ProfileFile,,,,
SetTimeZone,System,TRUE,,System,,,,
SetVariable,Variable,TRUE,,Variable,,,,
Sgn,Math,TRUE,,Math,,,,
Sin,Math,TRUE,,Math,,,,
SizeOf,Object,TRUE,myObj.size(),Object,,,,
Sleep,Thread,TRUE,,Thread,,,,
Soundex,String,TRUE,,String,,,,
SpanExcluding,String,TRUE,,String,,,,
SpanIncluding,String,TRUE,,String,,,,
SpreadSheetNew,Spreadsheet,TRUE,,lucee.util.Spreadsheet,new Spreadsheet(),,,
SpreadsheetSetCellValue,Spreadsheet,FALSE,,lucee.util.Spreadsheet,,MEMBER,,
SpreadSheetWrite,lucee.util.Spreadsheet,FALSE,,lucee.util.Spreadsheet,,MEMBER,,
Sqr,Math,TRUE,,Math,,,,
SSLCertificateInstall,System,TRUE,,System,,,,
SSLCertificateList,System,TRUE,,System,,,,
StoreAddACL,File,TRUE,,lucee.util.AmazonS3,,,,
StoreGetACL,File,TRUE,,lucee.util.AmazonS3,,,,
StoreSetACL,File,TRUE,,lucee.util.AmazonS3,,,,
Stringlen,String,TRUE,,String,,,,
StripCr,String,TRUE,,String,,,,
StructAppend,Struct,FALSE,,Struct,,MEMBER,,
StructClear,Struct,FALSE,,Struct,,MEMBER,,
StructCopy,Struct,FALSE,,Struct,,MEMBER,,
StructCount,Struct,FALSE,,Struct,,MEMBER,,
StructDelete,Struct,FALSE,,Struct,,MEMBER,,
StructEach,Struct,FALSE,,Struct,,MEMBER,,
StructEvery,Struct,FALSE,,Struct,,MEMBER,,
StructFilter,Struct,FALSE,,Struct,,MEMBER,,
StructFind,Struct,FALSE,,Struct,,MEMBER,,
StructFindKey,Struct,FALSE,,Struct,,MEMBER,,
StructFindValue,Struct,FALSE,,Struct,,MEMBER,,
StructGet,Struct,FALSE,,Struct,,MEMBER,,
StructInsert,Struct,FALSE,,Struct,,MEMBER,,
StructIsEmpty,Struct,FALSE,,Struct,,MEMBER,,
StructKeyArray,Struct,FALSE,,Struct,,MEMBER,,
StructKeyExists,Struct,FALSE,,Struct,,MEMBER,,
StructKeyList,Struct,FALSE,,Struct,,MEMBER,,
StructKeyTranslate,Struct,FALSE,,Struct,,MEMBER,,
StructMap,Struct,FALSE,,Struct,,MEMBER,,
StructNew,Struct,FALSE,,Struct,,MEMBER,,
StructReduce,Struct,FALSE,,Struct,,MEMBER,,
StructSome,Struct,FALSE,,Struct,,MEMBER,,
StructSort,Struct,FALSE,,Struct,,MEMBER,,
StructUpdate,Struct,FALSE,,Struct,,MEMBER,,
SystemCacheClear,System,TRUE,,System,,,,
SystemOutput,System,TRUE,,System,,,,
Tan,Math,TRUE,,Math,,,,
TimeFormat,DateTime,TRUE,,DateTime,,,,
ToBase64,Encode,TRUE,,Encode,,,,
ToBinary,Binary,TRUE,,Binary,,,,
ToNumeric,Numeric,TRUE,,Numeric,,,,
ToScript,String,TRUE,,String,Actually should NOT be String: it's too purposeful. Not sure?,,,
ToString,Object,TRUE,,Object,Variable?,,,
Trim,String,TRUE,,String,,,,
TrueFalseFormat,Boolean,TRUE,,Boolean,,,,
UCase,String,TRUE,,String,,,,
UcFirst,String,TRUE,,String,,,,
UnserializeJava,Object,TRUE,,,"Not sure, but should be DEserializeJava(), surely?",,,
URLDecode,Encode,TRUE,,Encode,,,,
URLEncode,Encode,TRUE,,Encode,,,,
URLEncodedFormat,Encode,TRUE,,Encode,,,,
URLSessionFormat,Encode,TRUE,,Encode,,,,
Val,Number,TRUE,,Number,String?,,,
ValueArray,Array,TRUE,,Array,,,,
ValueList,List,TRUE,,List,,,,
VerifyClient,Request,TRUE,,,Not sure what this does,,,
Week,DateTime,TRUE,,DateTime,,,,
Wrap,String,TRUE,,String,,,,
WriteDump,Variable,TRUE,,,Do not implement,,,
WriteOutput,Variable,TRUE,,,Do not implement,,,
XmlChildPos,Xml,FALSE,,Xml,,MEMBER,,
XmlElemNew,Xml,FALSE,,Xml,,MEMBER,,
XMLFormat,Xml,TRUE,,Xml,,,,
XmlGetNodeType,Xml,FALSE,,Xml,,MEMBER,,
XmlNew,Xml,TRUE,XML().new(),Xml,,,,
XmlParse,Xml,TRUE,XML().parse(),Xml,,,,
XmlSearch,Xml,TRUE,,Xml,,,,
XmlTransform,Xml,TRUE,,Xml,,,,
XmlValidate,Xml,TRUE,,Xml,,,,
Year,DateTime,TRUE,,DateTime,,,,
YesNoFormat,Boolean,TRUE,,Boolean,,,,
